Date,Open,High,Low,Close,Adj Close,Volume
2013-06-12,120.959999,121.330002,118.370003,119.129997,100.639946,595500
2013-06-13,119.169998,121.349998,119.010002,121.300003,102.473160,449600
2013-06-14,118.690002,119.260002,116.790001,117.379997,99.161552,591500
2013-06-17,120.050003,120.889999,119.540001,120.379997,101.695930,586200
2013-06-18,122.440002,122.940002,121.900002,122.290001,103.309502,721300
2013-06-19,122.699997,123.180000,120.709999,120.779999,102.033875,616500
2013-06-20,118.970001,119.139999,116.570000,117.059998,98.891235,747000
2013-06-21,119.379997,119.760002,117.599998,119.550003,100.994766,765500
2013-06-24,117.349998,117.669998,115.279999,116.529999,98.443481,653500
2013-06-25,117.449997,117.790001,116.629997,117.290001,99.085541,320200
2013-06-26,117.830002,118.099998,116.919998,118.059998,99.736031,544900
2013-06-27,120.699997,122.040001,120.430000,121.739998,102.844856,641700
2013-06-28,121.309998,121.669998,120.360001,120.660004,101.932487,466100
2013-07-01,122.389999,123.430000,121.260002,123.019997,103.926193,604100
2013-07-02,124.699997,125.339996,123.879997,124.470001,105.151146,620300
2013-07-03,123.510002,124.519997,123.120003,124.519997,105.193375,170300
2013-07-05,125.919998,125.980003,124.349998,125.269997,105.826973,335600
2013-07-08,124.879997,125.199997,124.360001,124.900002,105.514381,324400
2013-07-09,126.660004,126.660004,125.480003,126.199997,106.612610,454700
2013-07-10,126.730003,127.010002,126.260002,126.769997,107.094154,290900
2013-07-11,128.529999,129.419998,128.270004,129.289993,109.223022,346000
2013-07-12,129.220001,129.690002,129.070007,129.690002,109.560951,297400
2013-07-15,129.990005,129.990005,129.199997,129.639999,109.518715,241700
2013-07-16,129.380005,129.460007,128.080002,128.910004,108.902016,636000
2013-07-17,130.809998,131.500000,129.710007,130.839996,110.532440,634200
2013-07-18,130.029999,131.130005,129.779999,130.800003,110.498665,480000
2013-07-19,130.000000,130.539993,129.779999,130.360001,110.126953,359300
2013-07-22,130.000000,130.779999,130.000000,130.300003,110.076279,301500
2013-07-23,130.350006,130.350006,129.050003,129.479996,109.383537,315500
2013-07-24,129.360001,129.389999,128.070007,128.429993,108.496506,300100
2013-07-25,126.879997,127.680000,126.300003,127.550003,107.753113,302200
2013-07-26,124.559998,124.559998,122.919998,124.489998,105.168030,616800
2013-07-29,120.820000,121.339996,120.110001,120.250000,101.586105,650900
2013-07-30,123.010002,123.339996,122.349998,122.589996,103.562927,437900
2013-07-31,122.209999,122.459999,121.239998,121.900002,102.980026,363700
2013-08-01,126.250000,126.870003,125.900002,126.239998,106.646416,622900
2013-08-02,129.820007,134.940002,129.050003,134.330002,113.480774,1166200
2013-08-05,129.169998,129.970001,128.160004,129.509995,109.408890,792600
2013-08-06,129.679993,130.029999,129.100006,129.699997,109.569382,494600
2013-08-07,128.509995,129.050003,127.500000,127.559998,107.761551,593400
2013-08-08,127.989998,128.479996,127.139999,128.029999,108.158600,381700
2013-08-09,128.500000,128.729996,127.300003,127.570000,107.769981,318700
2013-08-12,128.500000,128.500000,127.730003,128.320007,108.403595,294400
2013-08-13,128.729996,130.550003,128.460007,130.199997,109.991798,296300
2013-08-14,129.729996,129.970001,129.039993,129.270004,109.206131,136700
2013-08-15,128.949997,128.960007,127.000000,127.449997,107.668617,335400
2013-08-16,128.600006,129.610001,128.389999,128.880005,108.876671,282600
2013-08-19,128.880005,129.130005,127.889999,128.199997,108.302208,196100
2013-08-20,126.290001,127.190002,125.940002,126.769997,107.094154,299900
2013-08-21,124.199997,124.500000,122.540001,122.860001,103.791023,437300
2013-08-22,124.309998,125.110001,124.160004,124.769997,105.404572,184600
2013-08-23,127.639999,127.639999,126.029999,127.010002,107.296906,204300
2013-08-26,126.269997,126.370003,124.980003,125.190002,105.759384,182900
2013-08-27,124.629997,124.980003,123.720001,124.040001,104.787880,330000
2013-08-28,123.809998,124.650002,123.279999,123.910004,104.678055,173700
2013-08-29,123.760002,124.980003,123.629997,123.889999,104.661171,239500
2013-08-30,121.199997,121.519997,120.620003,120.790001,102.042297,396500
2013-09-03,124.000000,125.260002,123.720001,124.300003,105.007523,575200
2013-09-04,124.209999,126.480003,124.000000,125.839996,106.308502,410500
2013-09-05,124.769997,125.989998,124.610001,125.639999,106.139526,315300
2013-09-06,125.959999,126.470001,124.339996,125.550003,106.063522,307100
2013-09-09,125.620003,126.879997,125.550003,126.800003,107.119499,258300
2013-09-10,127.000000,127.669998,126.839996,127.379997,107.609482,395400
2013-09-11,126.419998,127.750000,126.300003,127.559998,107.761551,265600
2013-09-12,126.059998,126.529999,125.510002,125.910004,106.367638,328200
2013-09-13,126.110001,126.900002,125.830002,126.800003,107.119499,219300
2013-09-16,128.000000,128.470001,127.489998,127.750000,107.922043,163700
2013-09-17,126.389999,127.269997,126.099998,126.779999,107.102600,286600
2013-09-18,127.489998,131.169998,127.320000,130.929993,110.608482,594200
2013-09-19,130.559998,130.860001,129.770004,130.199997,109.991798,629500
2013-09-20,130.399994,130.710007,129.240005,129.449997,109.358185,408000
2013-09-23,129.410004,129.949997,128.839996,129.779999,109.636978,296300
2013-09-24,130.619995,131.350006,129.929993,130.559998,110.295906,221600
2013-09-25,130.199997,130.399994,129.500000,129.850006,110.694901,260900
2013-09-26,130.869995,132.339996,130.759995,131.979996,112.510689,247500
2013-09-27,129.910004,130.789993,129.860001,130.259995,111.044403,179600
2013-09-30,127.489998,128.240005,126.550003,128.029999,109.143387,358500
2013-10-01,128.029999,128.470001,126.730003,127.320000,108.538109,305700
2013-10-02,127.080002,127.930000,126.129997,127.660004,108.827972,225000
2013-10-03,128.500000,128.500000,126.900002,127.750000,108.904686,177000
2013-10-04,127.470001,128.279999,127.019997,128.009995,109.126328,155400
2013-10-07,125.459999,126.339996,125.260002,125.339996,106.850212,289600
2013-10-08,125.489998,125.559998,123.500000,123.680000,105.435089,291200
2013-10-09,127.669998,128.130005,125.980003,128.089996,109.194527,565200
2013-10-10,130.059998,131.000000,129.729996,131.000000,111.675270,364200
2013-10-11,130.740005,131.649994,129.899994,131.649994,112.229370,568300
2013-10-14,130.000000,131.179993,129.899994,130.750000,111.462143,317100
2013-10-15,130.360001,130.399994,129.500000,129.610001,110.490311,439300
2013-10-16,129.500000,130.440002,128.800003,130.240005,111.027374,187900
2013-10-17,129.449997,130.110001,129.199997,130.100006,110.908035,317700
2013-10-18,129.000000,129.899994,128.699997,129.520004,110.413589,357700
2013-10-21,129.369995,131.000000,129.169998,129.380005,110.294235,561200
2013-10-22,132.529999,132.529999,129.570007,130.710007,111.428055,344300
2013-10-23,129.259995,129.630005,128.550003,129.250000,110.183403,327400
2013-10-24,129.600006,130.000000,129.070007,129.820007,110.669334,164200
2013-10-25,128.809998,129.399994,128.500000,128.690002,109.706024,308200
2013-10-28,129.000000,129.000000,128.220001,128.369995,109.433220,282800
2013-10-29,128.500000,129.000000,128.369995,128.949997,109.927666,302200
2013-10-30,130.039993,130.479996,129.630005,130.199997,110.993279,478700
2013-10-31,130.339996,130.399994,129.250000,129.419998,110.328339,373900
2013-11-01,129.509995,130.149994,128.960007,129.759995,110.618172,202400
2013-11-04,130.000000,130.000000,129.210007,129.630005,110.507355,201500
2013-11-05,128.789993,129.199997,128.149994,128.589996,109.620766,498500
2013-11-06,130.350006,130.350006,129.050003,129.199997,110.140778,362700
2013-11-07,127.709999,128.250000,125.739998,125.919998,107.344650,499100
2013-11-08,126.309998,127.629997,126.309998,127.370003,108.580742,459500
2013-11-11,126.870003,127.050003,126.430000,126.669998,107.984024,315100
2013-11-12,126.400002,127.339996,126.389999,127.300003,108.521072,641700
2013-11-13,126.320000,127.739998,125.980003,127.660004,108.827972,332900
